id	al_len	cons_fr	gap_fr	fpr30	fpr50	fpr70	tpr30	tpr50	tpr70	tfpr30	tfpr50	tfpr70	pq	tr_len	ols	ols_n	fm	bme	topo	max_dist	mean_dist	fastme	rfd	cd	category
30_PF00005_11	170	0.1765	0.0706	0.0200	0.0361	0.0570	0.0368	0.0691	0.1109	0.0351	0.0609	0.0940	4748402	0.3193	5.7875	1.3639e+01	4.0882	0.011	23969	1.0975	0.6514	2227.0	0.7778	3.0809	bad
30_PF00005_12	246	0.3618	0.0691	0.0181	0.0333	0.0537	0.0447	0.0825	0.1436	0.0441	0.0796	0.1266	2803488	0.2946	6.8894	1.3854e+02	6.6592	0.010	23464	0.7545	0.2230	2190.0	0.4074	1.8352	n
30_PF00005_13	159	0.2642	0.1069	0.0193	0.0352	0.0579	0.0416	0.0776	0.1243	0.0381	0.0665	0.1005	3841103	0.2542	7.3532	4.5253e+01	6.7304	0.008	23501	1.0159	0.4031	2086.0	0.6296	2.2144	bad
30_PF00005_1	138	0.3768	0.0290	0.0184	0.0343	0.0567	0.0427	0.0787	0.1341	0.0405	0.0708	0.1144	2544610	0.2579	9.0232	9.9792e+01	8.5875	0.009	24543	0.7278	0.3007	2032.0	0.5926	2.8816	bad
30_PF00005_2	132	0.3561	0.0000	0.0206	0.0371	0.0599	0.0499	0.0863	0.1409	0.0420	0.0722	0.1125	3089481	0.2753	11.2207	1.0937e+02	10.4090	0.009	24250	0.6930	0.3203	2206.0	0.4815	2.0348	bad
30_PF00005_3	210	0.1619	0.2619	0.0220	0.0397	0.0636	0.0458	0.0827	0.1357	0.0367	0.0658	0.1028	5242329	0.3380	7.7789	2.1936e+01	5.6307	0.011	23129	1.0751	0.5955	2108.0	0.4815	1.7453	bad
30_PF00005_4	261	0.1877	0.3333	0.0175	0.0317	0.0509	0.0320	0.0596	0.1033	0.0362	0.0616	0.0943	4535327	0.2735	5.2830	3.1474e+01	4.6009	0.009	25571	1.2580	0.4097	2345.0	0.3333	1.7479	n
30_PF00005_5	169	0.2544	0.0947	0.0177	0.0314	0.0500	0.0294	0.0566	0.0932	0.0324	0.0570	0.0883	3968916	0.3079	4.5396	2.5192e+01	3.9754	0.010	24276	1.0937	0.4245	2401.0	0.4074	1.8767	n
30_PF00005_6	164	0.1098	0.6098	0.0207	0.0380	0.0609	0.0438	0.0814	0.1385	0.0391	0.0678	0.1018	3822141	0.2763	6.8955	2.5788e+01	5.4383	0.009	23022	1.1357	0.5171	2202.0	0.3704	1.4134	n
30_PF00005_7	153	0.3333	0.0327	0.0191	0.0352	0.0577	0.0397	0.0722	0.1206	0.0366	0.0654	0.1002	3312758	0.3237	7.7958	4.7953e+01	6.5260	0.011	23199	0.6949	0.4032	2111.0	0.7407	2.6918	bad
30_PF00005_8	149	0.1544	0.1812	0.0222	0.0399	0.0634	0.0451	0.0813	0.1310	0.0377	0.0647	0.0994	2212118	0.3575	8.1257	6.1362e+01	7.5375	0.012	24302	1.8944	0.3639	2084.0	0.5926	2.0817	bad
30_PF00005_9	136	0.3309	0.0000	0.0234	0.0426	0.0690	0.0444	0.0824	0.1354	0.0356	0.0603	0.0939	3135203	0.2904	11.2305	7.4216e+01	9.6708	0.010	24271	0.7092	0.3890	2284.0	0.2593	1.3322	good
30_PF00006_1	232	0.3922	0.4741	0.0269	0.0507	0.0835	0.0582	0.1060	0.1774	0.0392	0.0658	0.0993	2558227	0.2833	23.3726	1.5349e+03	23.0603	0.009	21462	0.4885	0.1234	1932.0	0.5185	1.8144	bad
30_PF00006_2	762	0.0971	0.8307	0.0258	0.0473	0.0816	0.0510	0.1013	0.1774	0.0140	0.0411	0.0828	5461009	0.3416	765.9184	3.1272e+04	761.3940	0.011	18070	0.7433	0.1565	1018.0	0.5556	2.7426	bad
30_PF00006_3	221	0.2670	0.6968	0.0071	0.0521	0.0907	0.0749	0.1467	0.2317	0.0439	0.0796	0.1283	806908	0.2513	30.2106	1.6415e+04	30.1748	0.008	21778	0.0863	0.0429	1679.0	0.6667	3.1121	bad
30_PF00006_4	238	0.6765	0.0966	0.0202	0.0361	0.0616	0.0472	0.0730	0.1138	0.0396	0.0663	0.0970	2109750	0.2548	11.1131	1.6980e+03	11.0654	0.008	24330	0.1572	0.0809	2158.0	0.4074	1.3970	n
30_PF00009_1	253	0.5889	0.0870	0.0237	0.0455	0.0743	0.0516	0.0952	0.1562	0.0369	0.0644	0.1043	1842919	0.3212	11.5659	7.1935e+02	11.4138	0.011	23090	0.2642	0.1268	2082.0	0.5185	2.4467	bad
30_PF00009_2	297	0.4040	0.0572	0.0183	0.0331	0.0525	0.0462	0.0863	0.1366	0.0466	0.0821	0.1236	4841800	0.3257	3.8089	4.7896e+01	3.5249	0.011	24319	0.4979	0.2820	2250.0	0.3704	1.4069	n
30_PF00009_3	330	0.5455	0.0455	0.0187	0.0335	0.0530	0.0396	0.0695	0.1129	0.0387	0.0665	0.0990	4601674	0.3183	5.6287	1.4803e+02	5.4297	0.011	24418	0.3138	0.1950	2131.0	0.4074	1.5588	n
30_PF00009_4	216	0.4861	0.1157	0.0201	0.0364	0.0585	0.0390	0.0719	0.1184	0.0361	0.0631	0.0931	4099139	0.2822	9.4044	1.5365e+02	8.8549	0.009	23526	0.4138	0.2474	2016.0	0.4444	3.3456	bad
30_PF00009_5	207	0.5604	0.0773	0.0150	0.0281	0.0508	0.0423	0.0820	0.1476	0.0466	0.0799	0.1282	2735793	0.2670	9.1783	3.5988e+02	9.0493	0.009	25322	0.2903	0.1597	2113.0	0.4444	1.5559	bad
30_PF00009_6	345	0.2290	0.3623	0.0160	0.0292	0.0477	0.0423	0.0805	0.1389	0.0458	0.0826	0.1377	7645398	0.2579	3.8813	2.9310e+01	3.4271	0.009	26060	0.5652	0.3639	2527.0	0.2222	1.3008	good
30_PF00009_7	187	0.2674	0.1765	0.0200	0.0355	0.0566	0.0443	0.0778	0.1325	0.0410	0.0693	0.1105	3730046	0.3089	5.5953	3.7827e+01	4.9654	0.010	23792	0.8363	0.3846	2340.0	0.2593	1.4424	n
30_PF00009_8	414	0.1498	0.3889	0.0133	0.0236	0.0378	0.0278	0.0500	0.0813	0.0393	0.0682	0.1015	10921987	0.3054	2.7127	1.3420e+01	2.2399	0.010	25315	0.7876	0.4496	2410.0	0.2222	1.5440	n
30_PF00009_9	196	0.4439	0.0816	0.0211	0.0381	0.0602	0.0562	0.1030	0.1788	0.0490	0.0845	0.1380	2549602	0.3052	6.1005	1.4980e+02	5.9047	0.010	24047	0.3776	0.2018	2055.0	0.5556	2.1248	bad
30_PF00010_1	52	0.0769	0.1346	0.0126	0.0339	0.0644	0.0454	0.1130	0.2212	0.0432	0.0898	0.1548	1083450	0.3121	10.9099	4.8070e+01	8.6884	0.010	21854	1.4794	0.4764	1763.0	0.6296	3.8718	bad
30_PF00012_1	607	0.4366	0.0082	0.0118	0.0216	0.0356	0.0308	0.0584	0.0999	0.0467	0.0862	0.1330	10355653	0.2731	2.9442	5.3404e+01	2.8151	0.009	26258	0.4211	0.2348	2390.0	0.3333	1.3183	good
30_PF00012_2	745	0.1570	0.2161	0.0116	0.0214	0.0347	0.0232	0.0424	0.0671	0.0368	0.0640	0.0949	21006241	0.2748	2.2903	7.1746e+00	1.7099	0.009	25791	0.9369	0.5650	2464.0	0.1481	1.0114	good
30_PF00012_3	615	0.3789	0.0569	0.0121	0.0219	0.0355	0.0356	0.0659	0.1057	0.0523	0.0893	0.1414	10108822	0.3174	2.5062	3.7768e+01	2.3500	0.011	25903	0.5274	0.2576	2471.0	0.3333	1.3218	good
30_PF00012_4	672	0.0491	0.4673	0.0112	0.0205	0.0331	0.0242	0.0419	0.0640	0.0393	0.0631	0.0917	19016629	0.2888	3.2620	5.1444e+00	1.9919	0.010	25316	1.5765	0.7963	2325.0	0.4074	1.8370	n
30_PF00013_1	78	0.0385	0.6026	0.0150	0.0305	0.0547	0.0408	0.0850	0.1565	0.0424	0.0719	0.1206	2798513	0.2687	20.8389	2.9137e+01	14.9419	0.009	22096	3.6506	0.8457	1912.0	0.5556	2.0257	bad
30_PF00018_1	49	0.4490	0.0000	0.0186	0.0375	0.0668	0.0359	0.0756	0.1445	0.0315	0.0612	0.0971	1180793	0.2070	21.4075	2.0405e+02	20.2855	0.007	21024	0.7015	0.3239	1772.0	0.6296	2.7245	bad
30_PF00018_2	49	0.1429	0.0816	0.0267	0.0491	0.0805	0.0544	0.1021	0.1735	0.0360	0.0635	0.1031	1533728	0.2889	18.1472	4.3892e+01	12.8039	0.010	22004	1.3382	0.6430	1863.0	0.5185	2.5807	bad
30_PF00025_1	249	0.0964	0.4739	0.0090	0.0176	0.0318	0.0225	0.0454	0.0794	0.0422	0.0700	0.1030	12801713	0.1667	6.5749	7.4633e+00	4.3609	0.006	25777	1.7879	0.9386	2434.0	0.6296	2.8305	bad
30_PF00025_2	179	0.4302	0.0391	0.0116	0.0230	0.0383	0.0286	0.0517	0.0836	0.0395	0.0658	0.0985	4635223	0.2126	7.4300	8.3053e+01	7.0783	0.007	25808	0.5818	0.2991	2440.0	0.2222	1.3078	good
30_PF00027_1	123	0.2033	0.3659	0.0251	0.0462	0.0742	0.0511	0.0923	0.1480	0.0374	0.0637	0.0940	3335167	0.3214	9.7974	4.2630e+01	8.0881	0.011	23565	0.9787	0.4794	2152.0	0.5185	2.1102	bad
30_PF00027_2	93	0.2043	0.1075	0.0234	0.0427	0.0693	0.0572	0.0989	0.1571	0.0428	0.0715	0.1088	3330223	0.2576	11.6923	2.4130e+01	7.7737	0.009	24397	1.2786	0.6961	2320.0	0.3333	1.5350	n
30_PF00027_3	149	0.0268	0.6376	0.0231	0.0415	0.0654	0.0498	0.0900	0.1479	0.0407	0.0678	0.1060	5997414	0.3040	12.7988	1.0382e+01	5.4546	0.010	24563	2.1106	1.1103	2221.0	0.4074	1.7577	n
30_PF00027_4	124	0.1371	0.2903	0.0194	0.0358	0.0576	0.0399	0.0759	0.1274	0.0376	0.0668	0.1020	3396773	0.2470	7.6994	1.8762e+01	4.9529	0.008	25093	1.2540	0.6406	2481.0	0.4444	1.5470	bad
30_PF00043_1	136	0.0588	0.3456	0.0304	0.0537	0.0853	0.0579	0.1059	0.1692	0.0365	0.0629	0.0932	4463891	0.3346	20.0809	2.1753e+01	9.6098	0.011	22001	2.1184	0.9608	1941.0	0.5185	1.8943	bad
30_PF00067_1	580	0.0034	0.6810	0.0203	0.0359	0.0563	0.0339	0.0635	0.1023	0.0332	0.0590	0.0859	24532613	0.3400	23.9765	5.6200e+00	3.7003	0.011	24899	3.6713	2.0655	2313.0	0.7037	4.1312	bad
30_PF00067_2	506	0.1739	0.1561	0.0113	0.0202	0.0318	0.0253	0.0455	0.0717	0.0405	0.0730	0.1117	16613205	0.3007	2.3711	5.0473e+00	1.6527	0.010	26657	0.9595	0.6854	2536.0	0.3704	1.4582	n
30_PF00069_10	461	0.0586	0.7093	0.0138	0.0248	0.0396	0.0321	0.0603	0.1026	0.0448	0.0731	0.1095	14281991	0.2858	3.5385	9.2950e+00	2.5845	0.010	25959	1.1044	0.6170	2403.0	0.1852	1.1142	good
30_PF00069_11	306	0.2908	0.4673	0.0124	0.0226	0.0371	0.0332	0.0638	0.1058	0.0439	0.0800	0.1343	3580560	0.1872	8.5872	1.5071e+02	8.4576	0.006	26064	0.4220	0.2387	2306.0	0.3704	1.5786	n
30_PF00069_12	377	0.2042	0.3740	0.0139	0.0253	0.0401	0.0312	0.0565	0.0925	0.0415	0.0718	0.1119	10917593	0.2990	2.8677	7.9526e+00	2.1466	0.010	26042	0.8554	0.6005	2463.0	0.2593	1.4028	n
30_PF00069_13	254	0.3937	0.0236	0.0124	0.0232	0.0384	0.0338	0.0640	0.1047	0.0454	0.0824	0.1332	5100163	0.2717	3.8528	4.2300e+01	3.5942	0.009	25619	0.5924	0.3018	2302.0	0.2593	1.6189	n
30_PF00069_14	333	0.3273	0.3874	0.0127	0.0247	0.0413	0.0323	0.0644	0.1465	0.0404	0.0755	0.1480	4922959	0.2597	6.1252	1.3526e+02	5.9889	0.009	23943	0.4725	0.2128	2127.0	0.3704	2.3742	n
30_PF00069_15	316	0.2405	0.4652	0.0127	0.0236	0.0389	0.0354	0.0690	0.1307	0.0463	0.0875	0.1501	5554684	0.2775	3.2680	5.0337e+01	3.0972	0.009	25192	0.4580	0.2548	2317.0	0.3704	1.8327	n
30_PF00069_16	230	0.2652	0.2739	0.0150	0.0277	0.0458	0.0296	0.0533	0.0893	0.0339	0.0601	0.0908	4512914	0.2752	5.8209	3.2440e+01	5.3023	0.009	23709	0.7872	0.4236	2058.0	0.5926	2.6314	bad
30_PF00069_18	283	0.1873	0.2155	0.0130	0.0243	0.0396	0.0256	0.0462	0.0737	0.0362	0.0610	0.0877	8295120	0.2578	3.0435	9.2438e+00	2.2513	0.009	26425	0.9363	0.5738	2484.0	0.5556	2.4415	bad
30_PF00069_19	331	0.3323	0.4562	0.0166	0.0305	0.0517	0.0507	0.1005	0.1762	0.0518	0.0931	0.1539	3218472	0.2716	7.5596	3.1876e+02	7.4613	0.009	23588	0.2783	0.1540	2134.0	0.4074	1.8276	n
30_PF00069_1	513	0.0136	0.8460	0.0174	0.0317	0.0511	0.0378	0.0666	0.1088	0.0397	0.0664	0.0968	16335543	0.2877	9.8849	6.6972e+00	3.3900	0.010	25544	2.1388	1.2149	2423.0	0.4074	1.7869	n
30_PF00069_20	296	0.0709	0.5946	0.0146	0.0268	0.0434	0.0291	0.0583	0.1084	0.0370	0.0665	0.1145	6975350	0.3140	3.3891	1.2572e+01	2.4998	0.010	24448	0.9522	0.5192	2267.0	0.2963	1.4003	n
30_PF00069_21	268	0.1381	0.0746	0.0122	0.0224	0.0369	0.0258	0.0484	0.0820	0.0391	0.0680	0.1031	12296338	0.2444	4.9149	8.7961e+00	2.9369	0.008	26534	1.7079	0.7475	2519.0	0.4074	2.0728	n
30_PF00069_22	284	0.2606	0.2077	0.0104	0.0198	0.0328	0.0221	0.0404	0.0669	0.0367	0.0618	0.0927	7777977	0.2605	2.4204	1.2152e+01	2.0115	0.009	26388	0.8595	0.4463	2611.0	0.1111	0.5612	good
30_PF00069_23	244	0.1434	0.4672	0.0182	0.0361	0.0613	0.0461	0.0986	0.1763	0.0405	0.0707	0.1157	2622962	0.3099	10.6776	1.1040e+02	9.8098	0.010	21456	1.0529	0.3110	1887.0	0.5185	1.9891	bad
30_PF00069_24	297	0.1650	0.4478	0.0136	0.0252	0.0408	0.0419	0.0813	0.1367	0.0546	0.0988	0.1600	7244482	0.2996	3.0689	1.4727e+01	2.5932	0.010	25182	0.9723	0.4565	2491.0	0.1481	1.1861	good
30_PF00069_25	379	0.0317	0.7203	0.0161	0.0304	0.0509	0.0394	0.0800	0.1339	0.0401	0.0731	0.1210	8462206	0.3233	11.6325	1.9913e+01	6.0806	0.011	22594	2.4563	0.7643	2064.0	0.3704	1.7420	n
30_PF00069_26	334	0.3802	0.3563	0.0135	0.0254	0.0419	0.0330	0.0751	0.1261	0.0465	0.0829	0.1372	4712084	0.2241	6.5129	1.6765e+02	6.3928	0.007	24227	0.4315	0.1971	2166.0	0.4815	2.6991	bad
30_PF00069_27	324	0.1481	0.3488	0.0140	0.0256	0.0404	0.0335	0.0622	0.1014	0.0435	0.0759	0.1177	7983978	0.3035	2.9639	8.0788e+00	2.0878	0.010	25193	1.1045	0.6057	2379.0	0.2593	1.2054	good
30_PF00069_28	341	0.1994	0.2229	0.0126	0.0233	0.0373	0.0279	0.0547	0.1020	0.0382	0.0685	0.1245	6722232	0.2601	3.8008	1.9073e+01	3.3247	0.009	25514	1.1710	0.4464	2340.0	0.4444	1.9202	bad
30_PF00069_29	449	0.1069	0.6414	0.0138	0.0253	0.0421	0.0329	0.0639	0.1102	0.0430	0.0754	0.1206	11228462	0.3119	3.6919	1.3985e+01	2.8389	0.010	25372	0.8199	0.5138	2303.0	0.2222	1.0764	good
30_PF00069_2	309	0.1650	0.4563	0.0120	0.0220	0.0355	0.0269	0.0490	0.0853	0.0415	0.0656	0.1083	8753773	0.2358	3.7386	2.0776e+01	3.3163	0.008	26545	0.9172	0.4242	2468.0	0.3704	1.6393	n
30_PF00069_30	294	0.4558	0.0374	0.0109	0.0201	0.0339	0.0260	0.0484	0.0852	0.0390	0.0732	0.1230	6003811	0.2616	3.2740	4.2424e+01	3.0762	0.009	26089	0.6187	0.2778	2356.0	0.3704	1.8169	n
30_PF00069_31	339	0.3186	0.1593	0.0141	0.0262	0.0424	0.0292	0.0556	0.0945	0.0382	0.0645	0.1013	8130886	0.2607	3.3362	1.9512e+01	2.8823	0.009	24843	0.7738	0.4135	2354.0	0.2593	1.4979	n
30_PF00069_32	262	0.5382	0.0153	0.0144	0.0275	0.0451	0.0314	0.0579	0.1005	0.0367	0.0635	0.1020	2921885	0.2686	4.5803	1.3873e+02	4.4812	0.009	25306	0.4163	0.1817	2444.0	0.1852	1.2177	good
30_PF00069_33	364	0.1181	0.5110	0.0119	0.0215	0.0346	0.0308	0.0579	0.1044	0.0481	0.0859	0.1361	12144253	0.2753	2.6407	5.1053e+00	1.8666	0.009	25785	1.2972	0.7192	2400.0	0.3704	1.4264	n
30_PF00069_34	504	0.0635	0.7381	0.0137	0.0253	0.0414	0.0314	0.0572	0.0951	0.0411	0.0725	0.1086	19919489	0.2768	6.0155	6.0957e+00	2.9472	0.009	25214	1.5274	0.9934	2330.0	0.7407	3.2349	bad
30_PF00069_35	421	0.1876	0.4347	0.0096	0.0189	0.0322	0.0218	0.0444	0.0853	0.0366	0.0713	0.1144	8963098	0.2626	24.8818	1.5185e+02	24.4268	0.009	24131	0.7893	0.4048	2116.0	0.4444	1.8576	bad
30_PF00069_36	357	0.0840	0.4706	0.0129	0.0233	0.0378	0.0263	0.0473	0.0772	0.0396	0.0626	0.0938	8830324	0.2850	3.7898	1.0279e+01	2.7559	0.010	25309	1.6725	0.6072	2519.0	0.2222	1.2658	good
30_PF00069_37	381	0.1339	0.5722	0.0166	0.0299	0.0474	0.0332	0.0595	0.0980	0.0378	0.0629	0.0921	7699718	0.3030	4.3234	2.0557e+01	3.5473	0.010	25252	1.0931	0.4586	2368.0	0.3704	1.4416	n
30_PF00069_3	434	0.0461	0.5760	0.0187	0.0333	0.0522	0.0363	0.0634	0.1022	0.0361	0.0619	0.0918	12462333	0.3415	6.4989	6.7655e+00	3.0867	0.011	24943	1.3969	0.9801	2380.0	0.4074	2.2834	n
30_PF00069_4	452	0.0221	0.9204	0.0174	0.0314	0.0507	0.0379	0.0685	0.1147	0.0397	0.0694	0.1054	15601801	0.3047	7.2544	8.1579e+00	3.6935	0.010	24308	1.4244	0.9430	2276.0	0.2593	1.1467	good
30_PF00069_5	326	0.4387	0.1472	0.0151	0.0275	0.0444	0.0325	0.0582	0.0981	0.0390	0.0668	0.1006	7190471	0.2759	3.8231	5.1334e+01	3.5841	0.009	25811	0.4334	0.2729	2311.0	0.2963	1.1783	good
30_PF00069_6	413	0.0872	0.5424	0.0144	0.0265	0.0425	0.0312	0.0550	0.0852	0.0391	0.0659	0.0956	15196059	0.2616	5.4297	7.8119e+00	3.2218	0.009	25972	1.3948	0.8337	2440.0	0.3704	1.9891	n
30_PF00069_7	342	0.3918	0.1930	0.0141	0.0259	0.0432	0.0369	0.0667	0.1106	0.0460	0.0781	0.1187	4695673	0.2680	4.4327	7.9858e+01	4.3129	0.009	24215	0.5282	0.2356	2264.0	0.2593	1.1900	good
30_PF00069_8	336	0.1845	0.2649	0.0131	0.0242	0.0390	0.0318	0.0578	0.0978	0.0417	0.0734	0.1202	7134659	0.2900	3.3110	1.3858e+01	2.7480	0.010	24150	0.9291	0.4888	2270.0	0.3704	1.6330	n
30_PF00069_9	294	0.2075	0.3265	0.0181	0.0333	0.0536	0.0358	0.0701	0.1215	0.0373	0.0646	0.1027	6838497	0.2932	4.7400	2.0676e+01	3.8461	0.010	24192	0.8943	0.4788	2206.0	0.3333	1.4887	n
30_PF00071_1	193	0.3264	0.2383	0.0156	0.0293	0.0482	0.0407	0.0728	0.1283	0.0454	0.0828	0.1392	3228668	0.2159	5.5905	7.9488e+01	5.3379	0.007	23842	0.6005	0.2652	2297.0	0.3333	1.3629	good
30_PF00071_2	162	0.3889	0.0926	0.0137	0.0289	0.0490	0.0479	0.1031	0.1858	0.0527	0.1030	0.1923	2192649	0.2612	4.7342	1.0543e+02	4.4990	0.009	22664	0.5220	0.2119	2341.0	0.4444	2.5047	bad
30_PF00071_3	184	0.2228	0.3641	0.0153	0.0293	0.0512	0.0401	0.0829	0.1404	0.0428	0.0756	0.1122	2653630	0.2507	6.0726	1.1469e+02	5.7394	0.008	23956	0.5795	0.2301	2238.0	0.5185	2.2221	bad
30_PF00071_4	181	0.4530	0.1436	0.0195	0.0377	0.0644	0.0497	0.0972	0.1815	0.0389	0.0777	0.1404	2379099	0.2771	8.2930	2.2218e+02	7.9510	0.009	23468	0.3822	0.1932	2224.0	0.4074	2.3935	n
30_PF00071_5	162	0.3395	0.1481	0.0148	0.0285	0.0480	0.0382	0.0703	0.1139	0.0428	0.0725	0.1232	2684893	0.2681	9.1432	1.6444e+02	8.9203	0.009	25462	0.5239	0.2358	2456.0	0.4074	1.8742	n
30_PF00071_6	177	0.0904	0.7062	0.0105	0.0228	0.0416	0.0246	0.0535	0.1123	0.0339	0.0612	0.1241	3630319	0.2086	23.6984	3.0423e+02	23.4643	0.007	22770	0.7622	0.2791	2079.0	0.3704	1.8767	n
30_PF00071_7	174	0.6552	0.0287	0.0154	0.0297	0.0521	0.0454	0.0884	0.1665	0.0474	0.0894	0.1501	2076708	0.2319	6.8879	3.3263e+02	6.7711	0.008	23960	0.2638	0.1439	2189.0	0.6296	2.8056	bad
30_PF00071_8	159	0.4340	0.3899	0.0066	0.0363	0.0653	0.0665	0.1250	0.2161	0.0513	0.1041	0.1847	621918	0.2863	17.4072	4.2631e+03	17.3650	0.010	21336	0.2355	0.0639	2020.0	0.6667	3.1561	bad
30_PF00072_1	122	0.1557	0.1721	0.0168	0.0305	0.0492	0.0340	0.0653	0.1028	0.0379	0.0670	0.0999	4984385	0.2330	5.5400	9.1551e+00	3.4698	0.008	25706	1.3976	0.7779	2406.0	0.5926	1.9322	bad
30_PF00072_2	133	0.1128	0.4436	0.0229	0.0424	0.0684	0.0585	0.1078	0.1730	0.0452	0.0768	0.1185	2849626	0.2915	14.0698	3.9876e+01	11.3575	0.010	24177	1.5726	0.5940	1886.0	0.4815	2.4377	bad
30_PF00072_3	122	0.0820	0.0984	0.0145	0.0289	0.0501	0.0451	0.0871	0.1604	0.0500	0.0797	0.1341	4586740	0.2422	9.5967	1.5439e+01	5.9315	0.008	25562	1.8379	0.7884	2367.0	0.4444	1.9658	bad
