id	al_len	cons_fr	gap_fr	fpr30	fpr50	fpr70	tpr30	tpr50	tpr70	tfpr30	tfpr50	tfpr70	pq	tr_len	ols	ols_n	fm	bme	topo	max_dist	mean_dist	fastme	rfd	cd	category
20_PF00004_4	134	0.8134	0.0000	0.0049	0.0341	0.0660	0.0320	0.0934	0.1715	0.0372	0.1065	0.2088	104210	0.2723	7.7799	2.0977e+03	7.7632	0.014	3787	0.1319	0.0609	1334.0	0.4118	1.4797	n
20_PF00004_5	134	0.8060	0.0000	0.0021	0.0197	0.0644	0.0608	0.1236	0.2071	0.0655	0.1633	0.3065	124820	0.2618	5.2074	1.1395e+03	5.1915	0.013	4293	0.1561	0.0676	1265.0	0.5294	2.3753	bad
20_PF00004_6	131	0.2443	0.2824	0.0225	0.0403	0.0622	0.0465	0.0823	0.1345	0.0673	0.1039	0.1484	783868	0.2953	2.4514	1.1686e+01	1.9917	0.015	4594	0.8486	0.4580	1589.0	0.1176	0.6767	good
20_PF00004_7	134	0.7090	0.0000	0.0028	0.0133	0.0461	0.0393	0.0731	0.1411	0.0587	0.1427	0.2363	223673	0.2436	2.7786	2.7897e+02	2.7602	0.012	4483	0.2275	0.0998	1424.0	0.5882	1.9934	bad
20_PF00004_8	132	0.5000	0.0076	0.0204	0.0384	0.0638	0.0480	0.0895	0.1533	0.0693	0.1141	0.1801	289792	0.3055	2.8663	7.4918e+01	2.7777	0.015	4476	0.4020	0.1956	1572.0	0.2353	0.8826	good
20_PF00004_9	138	0.4928	0.1449	0.0227	0.0401	0.0648	0.0889	0.1626	0.2479	0.1112	0.1988	0.2939	188329	0.3587	3.3498	1.9225e+02	3.3088	0.018	4175	0.4179	0.1320	1316.0	0.5882	1.7045	bad
20_PF00005_10	150	0.3600	0.0000	0.0221	0.0415	0.0663	0.0614	0.1053	0.1711	0.0781	0.1336	0.1994	495217	0.3400	2.6253	1.9312e+01	2.2770	0.017	3993	0.6883	0.3687	1427.0	0.2353	1.3841	n
20_PF00005_11	162	0.2222	0.0123	0.0155	0.0292	0.0483	0.0355	0.0679	0.1187	0.0678	0.1153	0.1769	956574	0.3209	1.6861	4.7739e+00	1.2556	0.016	4548	1.0975	0.5943	1597.0	0.5294	1.9345	bad
20_PF00005_12	246	0.3780	0.0691	0.0146	0.0267	0.0410	0.0343	0.0644	0.1049	0.0682	0.1210	0.1943	697015	0.3046	3.1093	4.7259e+01	3.0367	0.015	4449	0.7487	0.2565	1421.0	0.3529	1.1585	good
20_PF00005_13	159	0.2704	0.1069	0.0211	0.0397	0.0642	0.0465	0.0878	0.1467	0.0600	0.1094	0.1667	593546	0.3151	3.0103	2.1102e+01	2.7202	0.016	3900	1.0159	0.3777	1203.0	0.1765	1.2628	good
20_PF00005_1	136	0.3971	0.0147	0.0184	0.0338	0.0537	0.0373	0.0706	0.1195	0.0612	0.1014	0.1695	530029	0.2850	3.7250	3.3093e+01	3.5444	0.014	4482	0.7278	0.3355	1496.0	0.4706	1.8166	bad
20_PF00005_2	132	0.5000	0.0000	0.0177	0.0337	0.0584	0.0467	0.0783	0.1252	0.0684	0.1158	0.1727	461161	0.2784	3.2160	5.1415e+01	3.1144	0.014	4015	0.4847	0.2501	1250.0	0.5882	1.9071	bad
20_PF00005_3	209	0.1914	0.2440	0.0199	0.0354	0.0567	0.0480	0.0915	0.1519	0.0723	0.1238	0.1955	917219	0.3697	2.1778	6.9001e+00	1.6748	0.018	3990	0.9836	0.5618	1295.0	0.3529	1.3746	n
20_PF00005_4	215	0.3163	0.1721	0.0189	0.0340	0.0536	0.0322	0.0588	0.0973	0.0536	0.0899	0.1316	913887	0.3022	2.0807	1.0891e+01	1.8193	0.015	4622	0.7968	0.4371	1589.0	0.2941	1.1675	good
20_PF00005_5	162	0.4074	0.0556	0.0211	0.0369	0.0588	0.0360	0.0641	0.0986	0.0538	0.0856	0.1312	537069	0.3485	2.0975	1.7551e+01	1.9128	0.017	4061	0.6146	0.3457	1346.0	0.4706	2.1263	bad
20_PF00005_6	150	0.2867	0.0867	0.0197	0.0376	0.0607	0.0384	0.0735	0.1224	0.0552	0.0968	0.1507	510996	0.3605	2.4570	1.0704e+01	1.9836	0.018	3976	1.0247	0.4791	1437.0	0.1765	1.2649	good
20_PF00005_7	152	0.3947	0.0066	0.0218	0.0403	0.0648	0.0438	0.0750	0.1186	0.0567	0.0963	0.1406	555223	0.3539	2.3782	1.7561e+01	2.0748	0.018	4186	0.6177	0.3680	1425.0	0.6471	2.2942	bad
20_PF00005_8	150	0.1467	0.1733	0.0186	0.0344	0.0527	0.0370	0.0641	0.1075	0.0583	0.1001	0.1523	379888	0.4012	1.7888	9.7286e+00	1.5864	0.020	4271	1.9416	0.4288	1506.0	0.5882	1.8224	bad
20_PF00005_9	136	0.3676	0.0000	0.0241	0.0432	0.0690	0.0468	0.0863	0.1342	0.0578	0.0986	0.1472	616205	0.3289	3.0472	1.6760e+01	2.5363	0.016	4374	0.7238	0.4264	1464.0	0.3529	1.4198	n
20_PF00006_1	238	0.4328	0.2311	0.0266	0.0483	0.0796	0.0522	0.0961	0.1596	0.0592	0.1008	0.1472	206596	0.3928	4.3394	2.5403e+02	4.2877	0.020	3891	0.4934	0.1307	1286.0	0.4706	1.7457	bad
20_PF00006_2	738	0.1003	0.8252	0.0266	0.0495	0.0879	0.0601	0.1109	0.2088	0.0199	0.0653	0.1387	687253	0.3781	93.0860	3.2172e+03	90.1210	0.019	3024	0.9518	0.1701	663.0	0.7647	2.7520	bad
20_PF00006_3	220	0.2682	0.6955	0.0019	0.0442	0.0771	0.0763	0.1603	0.2092	0.0700	0.1278	0.2464	151965	0.2557	8.9943	5.2477e+03	8.9824	0.013	3985	0.0863	0.0414	1368.0	0.6471	2.0196	bad
20_PF00006_4	241	0.7303	0.0539	0.0253	0.0495	0.0817	0.0540	0.0986	0.1662	0.0605	0.1010	0.1522	350430	0.2948	4.1840	6.7725e+02	4.1628	0.015	4364	0.1241	0.0786	1510.0	0.5294	1.3669	bad
20_PF00009_1	260	0.3615	0.1615	0.0192	0.0366	0.0616	0.0374	0.0695	0.1296	0.0506	0.0919	0.1515	335333	0.4224	2.8967	8.0921e+01	2.8447	0.021	3955	0.7480	0.1892	1233.0	0.7059	2.8023	bad
20_PF00009_2	289	0.4637	0.0450	0.0184	0.0340	0.0541	0.0426	0.0813	0.1312	0.0696	0.1156	0.1790	732890	0.3620	1.4054	1.9938e+01	1.3021	0.018	4368	0.4679	0.2655	1608.0	0.2353	1.1854	good
20_PF00009_3	330	0.5606	0.0303	0.0180	0.0319	0.0514	0.0420	0.0699	0.1216	0.0645	0.1098	0.1735	876724	0.3402	2.0262	4.2518e+01	1.9239	0.017	4347	0.3215	0.2183	1514.0	0.1176	0.7643	good
20_PF00009_4	216	0.5046	0.1157	0.0227	0.0404	0.0641	0.0444	0.0841	0.1318	0.0577	0.1023	0.1559	784031	0.3221	3.0788	4.8598e+01	2.8975	0.016	4284	0.4082	0.2517	1309.0	0.4706	1.9235	bad
20_PF00009_5	209	0.5646	0.0096	0.0186	0.0340	0.0582	0.0470	0.0952	0.1535	0.0732	0.1289	0.2015	485603	0.3348	2.5742	7.7629e+01	2.4979	0.017	4459	0.3952	0.1821	1508.0	0.1176	0.7218	good
20_PF00009_6	348	0.2557	0.3592	0.0151	0.0278	0.0442	0.0425	0.0803	0.1418	0.0802	0.1478	0.2345	1477221	0.2889	1.6433	1.3210e+01	1.4924	0.014	4599	0.5573	0.3527	1618.0	0.1765	1.0438	good
20_PF00009_7	199	0.2864	0.2261	0.0211	0.0372	0.0575	0.0607	0.1095	0.1804	0.0796	0.1452	0.2365	685866	0.3640	1.7981	1.0989e+01	1.5486	0.018	4173	0.7833	0.4045	1481.0	0.2941	1.5079	n
20_PF00009_8	408	0.1446	0.4828	0.0145	0.0266	0.0418	0.0296	0.0548	0.0929	0.0606	0.1021	0.1647	1806404	0.3727	1.1203	5.1923e+00	0.9084	0.019	4358	0.7039	0.4645	1459.0	0.2353	1.2896	good
20_PF00009_9	196	0.5153	0.0051	0.0204	0.0364	0.0584	0.0614	0.1105	0.1835	0.0842	0.1633	0.2601	519161	0.3365	2.3180	4.4591e+01	2.2327	0.017	4460	0.3984	0.2280	1479.0	0.2941	1.2711	good
20_PF00010_1	51	0.2353	0.0588	0.0028	0.0192	0.0382	0.0229	0.0591	0.1542	0.0521	0.1149	0.2490	206770	0.2611	3.4823	2.6442e+01	3.1462	0.013	4124	1.0520	0.3629	1263.0	0.5882	2.6238	bad
20_PF00012_1	607	0.4349	0.0165	0.0108	0.0197	0.0318	0.0316	0.0588	0.0910	0.0838	0.1454	0.2240	1794681	0.3255	0.7956	1.3126e+01	0.7478	0.016	4616	0.4080	0.2462	1607.0	0.3529	1.2140	good
20_PF00012_2	818	0.1381	0.3178	0.0118	0.0206	0.0320	0.0254	0.0475	0.0747	0.0668	0.1179	0.1750	3606010	0.3293	0.6124	1.6775e+00	0.4337	0.016	4663	0.9366	0.6042	1643.0	0.0588	0.4353	good
20_PF00012_3	612	0.4493	0.0180	0.0138	0.0252	0.0411	0.0396	0.0724	0.1188	0.0878	0.1518	0.2137	1546509	0.3626	0.8616	1.2600e+01	0.8060	0.018	4381	0.4073	0.2615	1619.0	0.2353	1.1675	good
20_PF00012_4	685	0.0555	0.4686	0.0132	0.0239	0.0375	0.0259	0.0472	0.0707	0.0582	0.0983	0.1419	3412419	0.3426	1.2867	1.7885e+00	0.7088	0.017	4689	1.6061	0.8482	1637.0	0.4706	1.4364	bad
20_PF00013_1	82	0.0366	0.5488	0.0152	0.0312	0.0563	0.0418	0.0797	0.1534	0.0699	0.1162	0.1753	483098	0.3120	9.5270	1.7018e+01	7.6147	0.016	3631	2.0682	0.7482	1196.0	0.5882	1.7029	bad
20_PF00018_1	49	0.4694	0.0000	0.0204	0.0408	0.0704	0.0374	0.0710	0.1361	0.0483	0.0911	0.1367	184565	0.2681	5.4842	5.6230e+01	5.1748	0.013	3827	0.6619	0.3123	1151.0	0.6471	2.9308	bad
20_PF00018_2	49	0.1429	0.0408	0.0263	0.0484	0.0810	0.0644	0.1225	0.1928	0.0701	0.1207	0.1854	245080	0.3094	4.9625	1.4875e+01	3.8208	0.015	3896	1.3785	0.5776	1339.0	0.3529	1.7830	n
20_PF00025_1	240	0.1083	0.4542	0.0067	0.0137	0.0249	0.0203	0.0406	0.0783	0.0733	0.1178	0.2132	2289827	0.2013	2.1394	2.4228e+00	1.3926	0.010	4598	1.7217	0.9397	1622.0	0.5882	1.8281	bad
20_PF00025_2	177	0.3390	0.0452	0.0133	0.0235	0.0376	0.0326	0.0526	0.0852	0.0708	0.1176	0.1761	825756	0.2927	1.3402	9.1173e+00	1.1987	0.015	4629	0.8043	0.3834	1596.0	0.4118	1.2204	good
20_PF00027_1	130	0.2385	0.3923	0.0268	0.0482	0.0759	0.0494	0.0886	0.1405	0.0566	0.0949	0.1374	638442	0.3516	3.7504	1.6414e+01	3.0746	0.018	4143	0.9770	0.4780	1277.0	0.3529	1.3534	good
20_PF00027_2	96	0.1979	0.1250	0.0235	0.0419	0.0673	0.0551	0.0948	0.1544	0.0631	0.1085	0.1815	548138	0.3174	4.4581	9.8020e+00	3.2798	0.016	4208	1.1992	0.6744	1464.0	0.2353	1.3669	n
20_PF00027_3	168	0.0476	0.4524	0.0204	0.0367	0.0572	0.0444	0.0803	0.1337	0.0661	0.1179	0.1780	1095265	0.3089	3.4584	3.0635e+00	1.4489	0.015	4513	1.9148	1.0625	1577.0	0.1765	1.0362	good
20_PF00027_4	112	0.1607	0.1964	0.0188	0.0352	0.0568	0.0455	0.0835	0.1459	0.0679	0.1165	0.1960	552699	0.3321	3.7881	1.1437e+01	2.9505	0.017	3976	1.1659	0.5755	1315.0	0.4706	1.7396	bad
20_PF00043_1	134	0.0672	0.3806	0.0306	0.0549	0.0880	0.0629	0.1105	0.1758	0.0612	0.1049	0.1588	763656	0.3850	6.9660	6.9134e+00	3.2763	0.019	3799	2.0793	1.0038	1187.0	0.3529	1.3746	n
20_PF00067_1	564	0.0106	0.4415	0.0170	0.0303	0.0474	0.0335	0.0604	0.0924	0.0570	0.0982	0.1492	4595548	0.3553	6.2221	1.4269e+00	1.0636	0.018	4564	2.9740	2.0882	1580.0	0.7059	2.8910	bad
20_PF00067_2	511	0.1859	0.1409	0.0120	0.0213	0.0336	0.0263	0.0496	0.0736	0.0637	0.1194	0.1830	2719930	0.3510	0.7333	1.6316e+00	0.4997	0.018	4672	0.9248	0.6704	1644.0	0.6471	1.7517	bad
20_PF00069_10	460	0.0957	0.6283	0.0137	0.0250	0.0416	0.0327	0.0598	0.0926	0.0692	0.1110	0.1618	2080340	0.3276	1.1576	3.5344e+00	0.8464	0.016	4502	1.0584	0.5723	1580.0	0.2941	1.1765	good
20_PF00069_11	306	0.3137	0.4673	0.0123	0.0250	0.0424	0.0294	0.0622	0.1115	0.0609	0.1079	0.1764	680771	0.2198	4.2640	7.4399e+01	4.1769	0.011	4565	0.4744	0.2394	1479.0	0.0588	0.5804	good
20_PF00069_12	361	0.2438	0.2548	0.0138	0.0237	0.0371	0.0281	0.0482	0.0809	0.0633	0.1038	0.1706	1742502	0.3593	1.0788	3.0319e+00	0.8301	0.018	4684	0.8290	0.5965	1616.0	0.1176	0.6767	good
20_PF00069_13	254	0.3937	0.0591	0.0114	0.0215	0.0338	0.0326	0.0578	0.0990	0.0761	0.1313	0.2186	941187	0.3050	1.0826	1.1902e+01	1.0225	0.015	4649	0.5922	0.3016	1509.0	0.1176	0.6156	good
20_PF00069_14	313	0.4089	0.2812	0.0101	0.0208	0.0352	0.0237	0.0460	0.0864	0.0595	0.1067	0.1850	1072094	0.2590	1.4187	2.9661e+01	1.3813	0.013	4145	0.4675	0.2187	1323.0	0.4118	1.6983	n
20_PF00069_15	299	0.5385	0.0803	0.0130	0.0254	0.0426	0.0260	0.0473	0.0863	0.0514	0.0965	0.1606	884829	0.2940	1.2726	2.9386e+01	1.2305	0.015	4429	0.3657	0.2081	1483.0	0.4118	1.7396	n
20_PF00069_16	231	0.2727	0.2727	0.0171	0.0316	0.0506	0.0281	0.0541	0.0991	0.0476	0.0914	0.1360	874539	0.3164	2.4676	1.1723e+01	2.2101	0.016	4050	0.8451	0.4588	1261.0	0.6471	2.8901	bad
20_PF00069_17	360	0.0167	0.7778	0.0148	0.0271	0.0437	0.0300	0.0548	0.0994	0.0611	0.0992	0.1560	2736922	0.3401	2.6401	2.3568e+00	1.1935	0.017	4364	2.2869	1.0584	1447.0	0.4706	1.8296	bad
20_PF00069_18	280	0.2321	0.1786	0.0125	0.0241	0.0405	0.0227	0.0452	0.0752	0.0520	0.0864	0.1317	1453930	0.2912	1.4063	4.5442e+00	1.1689	0.015	4699	0.9334	0.5563	1627.0	0.4706	2.2431	bad
20_PF00069_19	331	0.5438	0.1541	0.0154	0.0288	0.0456	0.0555	0.1027	0.1775	0.1056	0.1856	0.2872	574704	0.3173	1.5623	6.0497e+01	1.5338	0.016	3861	0.2707	0.1607	1390.0	0.4118	2.0609	n
20_PF00069_1	481	0.0644	0.5717	0.0155	0.0282	0.0443	0.0375	0.0655	0.1038	0.0714	0.1134	0.1730	2698313	0.3409	2.2812	1.7853e+00	0.8302	0.017	4642	2.0067	1.1304	1645.0	0.2941	1.2566	good
20_PF00069_20	288	0.1875	0.2535	0.0147	0.0270	0.0430	0.0306	0.0547	0.0948	0.0613	0.1053	0.1776	1083975	0.3767	1.2653	5.1349e+00	0.9497	0.019	4270	0.9389	0.4964	1419.0	0.2941	1.3199	good
20_PF00069_21	266	0.1842	0.3008	0.0130	0.0249	0.0436	0.0305	0.0580	0.1008	0.0642	0.1124	0.1790	2140135	0.2589	1.8607	3.8180e+00	1.1923	0.013	4706	1.1590	0.6981	1654.0	0.1176	0.7914	good
20_PF00069_22	277	0.2996	0.0975	0.0115	0.0197	0.0323	0.0231	0.0420	0.0759	0.0627	0.1068	0.1674	1581907	0.2868	0.9754	4.2530e+00	0.8022	0.014	4566	0.8551	0.4789	1610.0	0.1176	0.7398	good
20_PF00069_23	239	0.2427	0.3682	0.0225	0.0407	0.0657	0.0478	0.0906	0.1651	0.0596	0.1084	0.1709	555572	0.3297	2.9649	2.7847e+01	2.7149	0.016	4265	0.7706	0.3263	1406.0	0.4118	1.4708	n
20_PF00069_24	296	0.2027	0.4426	0.0146	0.0271	0.0434	0.0537	0.0942	0.1474	0.1012	0.1841	0.2699	1220821	0.3456	1.3649	6.5756e+00	1.1557	0.017	4259	0.7764	0.4556	1554.0	0.0588	0.6283	good
20_PF00069_25	379	0.0422	0.6280	0.0154	0.0291	0.0489	0.0362	0.0687	0.1120	0.0614	0.1031	0.1661	1887252	0.3370	4.1387	5.2391e+00	1.9607	0.017	4189	2.1448	0.8888	1436.0	0.2941	1.4124	n
20_PF00069_26	327	0.5413	0.2110	0.0120	0.0332	0.0615	0.0257	0.0794	0.1362	0.0574	0.0893	0.1462	286375	0.3250	4.0804	3.3845e+02	4.0640	0.016	3622	0.3656	0.1098	1359.0	0.3529	1.4272	n
20_PF00069_27	285	0.1825	0.1158	0.0128	0.0230	0.0364	0.0309	0.0647	0.1108	0.0692	0.1309	0.2377	1436842	0.3197	0.8012	2.2278e+00	0.5748	0.016	4586	1.1057	0.5997	1648.0	0.1765	1.0563	good
20_PF00069_28	292	0.2637	0.0993	0.0126	0.0233	0.0368	0.0256	0.0531	0.0950	0.0571	0.1046	0.1852	1221039	0.3066	1.3681	6.2091e+00	1.1765	0.015	4562	1.0923	0.4694	1461.0	0.2941	1.1943	good
20_PF00069_29	461	0.1236	0.6443	0.0164	0.0304	0.0496	0.0369	0.0640	0.1073	0.0583	0.1004	0.1662	2072996	0.3403	2.6285	8.6609e+00	2.0588	0.017	4513	0.8026	0.5509	1473.0	0.2353	0.7643	good
20_PF00069_2	308	0.4286	0.0390	0.0105	0.0209	0.0352	0.0208	0.0430	0.0715	0.0567	0.0963	0.1512	1262489	0.2723	1.3658	1.1402e+01	1.2559	0.014	4666	0.6754	0.3461	1554.0	0.2353	1.2460	good
20_PF00069_30	293	0.4812	0.0341	0.0112	0.0208	0.0340	0.0240	0.0486	0.0823	0.0614	0.1163	0.1818	1025192	0.2919	0.8496	1.1202e+01	0.7941	0.015	4691	0.5636	0.2754	1624.0	0.2941	0.9733	good
20_PF00069_31	325	0.3200	0.2308	0.0167	0.0298	0.0462	0.0373	0.0676	0.1122	0.0693	0.1170	0.1768	1299042	0.3063	1.5761	1.0368e+01	1.4113	0.015	4583	0.7559	0.3899	1596.0	0.1765	0.9814	good
20_PF00069_32	262	0.6107	0.0153	0.0139	0.0275	0.0461	0.0315	0.0624	0.1066	0.0602	0.1117	0.1695	602082	0.3074	2.5202	9.0909e+01	2.4757	0.015	4328	0.3794	0.1665	1386.0	0.4706	2.3575	bad
20_PF00069_33	357	0.1653	0.3894	0.0120	0.0221	0.0355	0.0363	0.0672	0.1069	0.0830	0.1445	0.2154	2122498	0.3090	1.5905	3.2468e+00	1.0366	0.015	4567	1.1978	0.6999	1603.0	0.1176	0.8208	good
20_PF00069_34	485	0.0701	0.6577	0.0149	0.0268	0.0422	0.0369	0.0621	0.0998	0.0691	0.1180	0.1820	3282456	0.3175	1.8261	1.8478e+00	0.8789	0.016	4387	1.5271	0.9941	1421.0	0.7059	1.8694	bad
20_PF00069_35	398	0.2814	0.2714	0.0084	0.0170	0.0288	0.0210	0.0408	0.0691	0.0678	0.1080	0.1665	1534309	0.2660	1.0797	7.3490e+00	0.9753	0.013	4518	0.7449	0.3833	1567.0	0.2941	1.2876	good
20_PF00069_36	301	0.1163	0.3156	0.0123	0.0235	0.0390	0.0319	0.0580	0.0923	0.0725	0.1147	0.1829	1314084	0.3526	1.3654	3.9425e+00	1.0682	0.018	4366	1.6689	0.5885	1494.0	0.0000	0.0000	good
20_PF00069_37	331	0.1511	0.5136	0.0152	0.0275	0.0445	0.0365	0.0658	0.1078	0.0668	0.1149	0.1811	1316167	0.3549	1.4939	6.6999e+00	1.2031	0.018	4337	1.0907	0.4722	1393.0	0.4706	1.3199	n
20_PF00069_3	398	0.0905	0.4548	0.0171	0.0300	0.0471	0.0325	0.0585	0.0862	0.0600	0.0989	0.1433	2355476	0.3658	1.7814	1.9763e+00	0.8745	0.018	4452	1.4254	0.9494	1571.0	0.3529	1.5270	n
20_PF00069_4	398	0.0503	0.6960	0.0148	0.0268	0.0446	0.0438	0.0835	0.1393	0.0851	0.1576	0.2441	2890283	0.3159	1.7051	2.2174e+00	0.9313	0.016	4507	1.4882	0.8769	1524.0	0.1765	1.0260	good
20_PF00069_5	311	0.4695	0.0965	0.0145	0.0264	0.0412	0.0309	0.0552	0.0936	0.0611	0.1092	0.1668	1326822	0.3023	0.8186	8.9163e+00	0.7515	0.015	4703	0.5236	0.3030	1676.0	0.1176	0.6767	good
20_PF00069_6	388	0.1263	0.3582	0.0143	0.0269	0.0438	0.0315	0.0583	0.0875	0.0627	0.1082	0.1608	2337191	0.3344	2.0301	2.9633e+00	1.0495	0.017	4551	1.4100	0.8277	1562.0	0.2353	0.9262	good
20_PF00069_7	336	0.4137	0.1518	0.0118	0.0217	0.0353	0.0326	0.0601	0.0950	0.0790	0.1313	0.2064	1455719	0.2823	0.9712	1.0251e+01	0.9134	0.014	4622	0.4990	0.3078	1610.0	0.0000	0.0000	good
20_PF00069_8	357	0.2213	0.2997	0.0111	0.0210	0.0357	0.0271	0.0503	0.0878	0.0633	0.1165	0.1881	1089702	0.3178	1.3459	6.9079e+00	1.2262	0.016	4305	0.8704	0.4414	1521.0	0.2941	1.7290	n
20_PF00069_9	294	0.2653	0.1531	0.0187	0.0328	0.0530	0.0376	0.0724	0.1364	0.0599	0.1110	0.1919	1111478	0.3636	1.7507	7.4396e+00	1.4027	0.018	4245	0.8980	0.4851	1452.0	0.4118	1.5678	n
20_PF00071_1	173	0.4913	0.0289	0.0159	0.0277	0.0447	0.0327	0.0597	0.0977	0.0624	0.1054	0.1653	701159	0.2545	1.7450	2.2514e+01	1.6388	0.013	4340	0.4903	0.2784	1403.0	0.4118	1.2794	good
20_PF00071_2	162	0.4012	0.0802	0.0114	0.0236	0.0409	0.0456	0.0984	0.1896	0.1064	0.1941	0.3156	522450	0.2723	1.9988	3.2577e+01	1.8682	0.014	4443	0.5574	0.2477	1509.0	0.5882	2.1752	bad
20_PF00071_3	185	0.3243	0.3676	0.0160	0.0329	0.0588	0.0478	0.0869	0.1418	0.0699	0.1183	0.1746	640276	0.2589	4.5003	8.3828e+01	4.3386	0.013	4249	0.4448	0.2317	1328.0	0.4706	2.1076	bad
20_PF00071_4	181	0.5470	0.0387	0.0169	0.0341	0.0580	0.0426	0.0813	0.1400	0.0594	0.1146	0.1882	463882	0.3230	3.4931	8.1600e+01	3.3713	0.016	4249	0.3346	0.2069	1416.0	0.4118	1.5694	n
20_PF00071_5	162	0.3580	0.1481	0.0197	0.0356	0.0570	0.0419	0.0819	0.1587	0.0637	0.1144	0.2133	415201	0.3307	2.2346	3.5984e+01	2.1087	0.017	4353	0.5239	0.2492	1520.0	0.3529	1.8468	n
20_PF00071_6	177	0.1977	0.4972	0.0137	0.0281	0.0526	0.0314	0.0583	0.1163	0.0563	0.0978	0.1573	452425	0.3049	8.4797	1.8175e+02	8.4029	0.015	3910	0.7688	0.2160	1251.0	0.5882	2.4094	bad
20_PF00071_7	174	0.7011	0.0000	0.0135	0.0277	0.0517	0.0475	0.0866	0.1533	0.0714	0.1299	0.2104	431459	0.2616	4.1037	1.9411e+02	4.0587	0.013	4429	0.2773	0.1454	1465.0	0.4118	1.4049	n
20_PF00071_8	159	0.7170	0.0692	0.0063	0.0283	0.0569	0.0673	0.1310	0.2290	0.0879	0.1802	0.3465	126825	0.3187	2.8632	6.8398e+02	2.8550	0.016	4119	0.1754	0.0647	1288.0	0.4706	1.4797	bad
20_PF00072_1	122	0.1557	0.1967	0.0180	0.0318	0.0501	0.0341	0.0617	0.0906	0.0585	0.1005	0.1405	810285	0.2911	1.8933	3.4425e+00	1.1389	0.015	4467	1.3530	0.7416	1489.0	0.4706	1.7336	bad
20_PF00072_2	117	0.2051	0.3675	0.0227	0.0433	0.0696	0.0475	0.0931	0.1571	0.0591	0.1067	0.1604	424939	0.3164	3.2478	1.2847e+01	2.6722	0.016	4183	0.9127	0.5028	1320.0	0.5882	2.3842	bad
